day,Beta
0,2.877283844051216e-05
1,2.722369550456717e-05
2,2.7763829618936776e-05
3,2.975284849714305e-05
4,3.1530925787331295e-05
5,3.2654015240831955e-05
6,3.692950285248574e-05
7,3.917734829628966e-05
8,4.196193026684125e-05
9,4.440746419356045e-05
10,4.727936621472423e-05
11,4.749774369927429e-05
12,4.901959074983924e-05
13,4.951071761416589e-05
14,4.950042971493727e-05
15,4.88810348394674e-05
16,4.778179387881021e-05
17,4.75587217128608e-05
18,4.6486861366911746e-05
19,4.553497835647548e-05
20,4.440959641103428e-05
21,4.290398085754233e-05
22,4.141155312416555e-05
23,3.98612238872075e-05
24,3.909956204330984e-05
25,3.739943410926141e-05
26,3.659985841504436e-05
27,3.54999485055692e-05
28,3.403482738195511e-05
29,3.3014531046808245e-05
30,3.210988888168904e-05
31,3.1225951327834434e-05
32,3.0218482187101063e-05
33,2.939480088531947e-05
34,2.852585454985768e-05
35,2.769075358167885e-05
36,2.6863020193674068e-05
37,2.6142559710834268e-05
38,2.550847878779845e-05
39,2.5029778591708914e-05
40,2.4501756246346935e-05
41,2.3977183142591063e-05
42,2.3304261264831126e-05
43,2.275671865270205e-05
44,2.229827584307802e-05
45,2.1965298454849455e-05
46,2.1396319819160206e-05
47,2.0925085536038586e-05
48,2.0393190137827733e-05
49,1.999217800935975e-05
50,1.9886997854225395e-05
51,1.9470448739153652e-05
52,1.8967248419313396e-05
53,1.854065763595511e-05
54,1.833395660864246e-05
55,1.7896258681291248e-05
56,1.766545608704575e-05
57,1.7475829005877588e-05
58,1.7082507181799908e-05
59,1.686541109566691e-05
60,1.6476085488767713e-05
61,1.6332930454382127e-05
62,1.6103598339260792e-05
63,1.567628431060919e-05
64,1.5458036179994954e-05
65,1.5203310671666703e-05
66,1.502388551756595e-05
67,1.4890625327157458e-05
68,1.4660573545960432e-05
69,1.4342931981954924e-05
70,1.4236274399818769e-05
71,1.3844575905105277e-05
72,1.3806942598421486e-05
73,1.3491915923971243e-05
74,1.331260883957227e-05
75,1.3253364962136674e-05
76,1.3036233618787344e-05
77,1.2710179720868286e-05
78,1.2661242027860064e-05
79,1.2616729366219477e-05
80,1.2451944395025618e-05
81,1.2066272319553298e-05
82,1.2143755914242664e-05
83,1.1892580086129756e-05
84,1.1889758162318978e-05
85,1.165654231208294e-05
86,1.1677565728012811e-05
87,1.1515280777591865e-05
88,1.1455278592375368e-05
89,1.1370536102998228e-05
90,1.120842779383336e-05
91,1.1186057697685604e-05
92,1.0876954452753227e-05
93,1.0936520885799076e-05
94,1.0609112232803706e-05
95,1.0555386893599311e-05
96,1.0625637538252296e-05
97,1.0376895564026414e-05
98,1.0491760941191665e-05
99,1.0490521813541466e-05
100,1.0528321263185979e-05
101,1.0532013863322213e-05
102,1.029245327270054e-05
103,1.0380173991220637e-05
104,1.0174791203681027e-05
105,1.0243422145122153e-05
106,1.0011812714034237e-05
107,9.990811777764225e-06
108,9.805298287616114e-06
109,9.96343419649885e-06
110,9.900075449298688e-06
111,9.757192783343981e-06
112,9.85144028056902e-06
113,9.909427829637116e-06
114,9.978998955852993e-06
115,9.850275807722615e-06
116,9.77458092943478e-06
117,9.654328760633591e-06
118,9.746636192184172e-06
119,9.573361241596023e-06
120,9.646860590001992e-06
121,9.528913516566672e-06
122,9.758578130610493e-06
123,9.435881091123352e-06
124,9.436050172336587e-06
125,9.071740722699223e-06
126,8.990506806595436e-06
127,9.430639277897538e-06
128,9.039202610850412e-06
129,9.133682160568544e-06
130,8.983031054338355e-06
131,8.63932932884287e-06
132,9.193699426444494e-06
133,9.05403447776329e-06
134,8.899131154901112e-06
135,8.91709934773044e-06
136,8.885370828863875e-06
137,9.0793067441277e-06
138,8.986599994698773e-06
139,8.925485651841015e-06
140,9.13112877060809e-06
141,8.917441789200119e-06
142,9.319030486619075e-06
143,9.195951941955151e-06
144,9.033827130152239e-06
145,8.501541213564814e-06
146,9.16469954191201e-06
147,8.792957321295878e-06
148,8.644153456790963e-06
149,8.548794942613372e-06
150,8.54006042869106e-06
151,8.520822579059012e-06
152,8.794022878529921e-06
153,8.426137879702839e-06
154,8.279002380213185e-06
155,8.66861113246158e-06
156,8.451650572141529e-06
157,8.43063693462041e-06
158,8.24577385540629e-06
159,8.47996608013568e-06
160,8.157099205009111e-06
161,7.886502617638944e-06
162,8.299792347279229e-06
163,8.319675199880196e-06
164,8.156606851549756e-06
165,8.323639761194775e-06
166,8.658159021588863e-06
167,8.405817580074064e-06
168,8.640242290326367e-06
169,8.21801169749937e-06
170,8.610030765374857e-06
171,8.342345594558971e-06
172,8.545688207278954e-06
173,8.563476771569257e-06
174,9.057041420441416e-06
175,8.618312189740762e-06
176,8.748949212827597e-06
177,8.785193831719106e-06
178,8.417466999781135e-06
179,8.503667999295364e-06
180,9.255601601551159e-06
181,8.675649721433278e-06
182,9.015010413534416e-06
183,8.761771696293262e-06
184,8.397627670183174e-06
185,9.040283503290662e-06
186,8.897931507280205e-06
187,9.099867141939727e-06
188,8.570522544759554e-06
189,8.830022075055188e-06
190,8.14836543789316e-06
191,8.724206882352325e-06
192,8.640592813791769e-06
193,8.328313211203247e-06
194,8.650593863268713e-06
195,8.06006363173323e-06
196,8.185987982131745e-06
197,8.760761134927403e-06
198,8.570992675229659e-06
199,8.003692370080064e-06
200,8.2891077132294e-06
201,8.267967907772519e-06
202,8.121677559340022e-06
203,7.838526357044876e-06
204,8.271503842113534e-06
205,7.901832623578182e-06
206,8.310070211805018e-06
207,8.386517833930174e-06
208,7.668197271567563e-06
209,8.322105990820605e-06
210,7.98992883840981e-06
211,7.98080775351435e-06
212,7.784706166265754e-06
213,8.092862904204782e-06
214,8.413359429316926e-06
215,7.547093865722106e-06
216,7.951865846609341e-06
217,7.95350241163049e-06
218,7.472947928498834e-06
219,7.69872329505357e-06
220,7.848650009833143e-06
221,8.598693520041421e-06
222,8.089353023392437e-06
223,8.154328643840122e-06
224,8.100013059062133e-06
225,8.491703605577351e-06
226,8.285827919925758e-06
227,6.9195250191202615e-06
228,8.307375712934814e-06
229,7.2301511029080605e-06
230,8.315316813570598e-06
231,7.929899686768963e-06
232,8.820323882316295e-06
233,7.785961533064996e-06
234,8.793212469125805e-06
235,8.37052241065276e-06
236,8.969665812437053e-06
237,8.91003537284043e-06
238,8.580927191099969e-06
239,8.783014616277176e-06
240,8.7807105350965e-06
241,8.470269354565475e-06
242,9.604512138049428e-06
243,9.538909682374446e-06
244,9.344411451649895e-06
245,9.11459732949638e-06
246,9.566326530612244e-06
247,9.73577117043441e-06
248,1.0363711598043239e-05
249,9.965148888001476e-06
