actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,475.165551954167,103,98
480,343.0678125956217,119,100
403,413.0405798011245,89,99
494,481.54862671977,95,98
444,197.35554526348753,129,96
523,538.2130818005154,95,97
451,377.3684743517898,102,101
509,242.6393528189077,105,98
412,308.88199175402497,104,100
431,291.12910405714246,116,99
431,446.60065741498636,88,95
455,461.00114058327006,94,100
444,286.51467039737844,110,99
392,353.97537174036194,94,100
472,417.6619569062018,94,101
460,510.1548969207567,102,96
481,421.2484943804961,106,100
424,494.9449936634128,105,99
516,551.3274070808751,102,96
460,488.5803030997555,90,98
422,566.1504710047294,94,93
507,589.1794776246195,92,92
494,471.63618885829675,107,100
553,461.4685829896113,98,99
348,486.5710936847422,111,97
509,476.6954952998874,109,99
446,243.37794790908816,117,98
457,312.17245060377013,98,99
388,395.24044805722036,107,100
389,366.0892840328907,112,100
